iccs,leg_stat,sex,unit,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,PER_CNV,M,P_HTHAB,CH	0.58 	0.52 	0.52 	0.74 	0.81 	0.68 	0.81 	0.85 	0.76 	0.92 	0.59 	1.07 	0.77 	0.94 
ICCS0101,PER_CNV,M,P_HTHAB,CY	: 	: 	1.64 	0.47 	3.12 	1.45 	0.73 	1.44 	4.28 	1.91 	0.49 	2.75 	1.28 	0.79 
ICCS0101,PER_CNV,M,P_HTHAB,CZ	1.65 	1.63 	1.22 	1.67 	1.33 	1.58 	1.93 	2.25 	2.07 	1.90 	2.10 	1.75 	1.95 	2.39 
ICCS0101,PER_CNV,M,P_HTHAB,DE	0.62 	0.67 	0.76 	0.64 	0.63 	0.71 	0.75 	0.73 	0.66 	0.83 	0.73 	0.85 	0.86 	: 
ICCS0101,PER_CNV,M,P_HTHAB,DK	1.10 	1.28 	0.76 	0.97 	1.05 	0.56 	1.17 	0.68 	0.72 	1.12 	0.87 	1.75 	1.24 	0.77 
ICCS0101,PER_CNV,M,P_HTHAB,EE	4.44 	4.29 	5.43 	4.19 	3.56 	5.51 	5.21 	4.55 	9.90 	9.06 	6.13 	8.05 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,EL	4.31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,ES	0.68 	0.82 	0.80 	0.64 	0.75 	0.71 	0.95 	0.90 	0.36 	0.32 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,EU_V	1.79 	1.63 	1.76 	1.81 	1.80 	1.54 	1.93 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,FI	1.68 	1.80 	1.69 	1.25 	1.62 	1.85 	1.75 	2.50 	1.99 	2.41 	2.62 	2.55 	2.26 	3.31 
ICCS0101,PER_CNV,M,P_HTHAB,FR	1.01 	0.77 	0.90 	0.80 	0.85 	0.86 	0.80 	0.77 	0.84 	0.86 	1.44 	1.84 	1.79 	1.88 
ICCS0101,PER_CNV,M,P_HTHAB,HR	3.00 	2.59 	3.45 	2.62 	2.69 	3.02 	1.47 	2.20 	2.14 	1.99 	1.98 	1.49 	2.17 	2.02 
ICCS0101,PER_CNV,M,P_HTHAB,HU	0.88 	0.79 	1.56 	1.58 	1.43 	1.96 	1.38 	2.66 	2.14 	2.62 	1.92 	2.52 	3.28 	2.29 
ICCS0101,PER_CNV,M,P_HTHAB,IS	: 	0.00 	: 	: 	: 	0.60 	1.21 	: 	0.62 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,IT	: 	: 	: 	2.20 	1.92 	1.98 	1.66 	1.99 	1.78 	1.67 	1.52 	1.97 	2.02 	2.11 
ICCS0101,PER_CNV,M,P_HTHAB,LT	5.33 	4.29 	6.56 	7.55 	10.29 	10.00 	8.91 	13.05 	11.03 	11.93 	14.14 	15.24 	13.64 	17.01 
ICCS0101,PER_CNV,M,P_HTHAB,LU	1.25 	0.00 	0.32 	0.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,LV	7.43 	7.04 	8.48 	10.12 	10.94 	10.39 	11.63 	11.89 	9.28 	8.24 	6.01 	6.69 	7.45 	9.63 
ICCS0101,PER_CNV,M,P_HTHAB,ME	2.28 	2.60 	2.60 	1.95 	3.90 	3.25 	4.55 	5.86 	10.10 	1.96 	1.96 	1.31 	9.21 	: 
ICCS0101,PER_CNV,M,P_HTHAB,MK	: 	: 	: 	: 	: 	: 	: 	3.77 	3.00 	3.49 	3.59 	3.11 	5.06 	3.12 
ICCS0101,PER_CNV,M,P_HTHAB,MT	0.37 	0.75 	2.78 	2.91 	0.43 	0.46 	1.40 	0.00 	0.95 	0.96 	1.45 	1.45 	1.95 	0.49 
ICCS0101,PER_CNV,M,P_HTHAB,NL	7.30 	6.58 	6.30 	6.24 	5.96 	5.25 	5.83 	6.52 	7.73 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,NO	0.85 	0.85 	0.60 	0.82 	1.06 	0.91 	0.65 	0.93 	0.87 	0.96 	0.89 	1.11 	0.96 	0.72 
ICCS0101,PER_CNV,M,P_HTHAB,PL	: 	: 	1.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,PER_CNV,M,P_HTHAB,PT	1.32 	1.50 	1.15 	1.40 	1.17 	1.75 	1.95 	2.14 	2.30 	2.52 	2.53 	2.25 	2.94 	2.23 
ICCS0101,PER_CNV,M,P_HTHAB,RO	4.67 	5.04 	6.77 	6.74 	7.45 	: 	8.09 	8.48 	7.92 	7.87 	8.99 	7.99 	7.05 	6.59 
ICCS0101,PER_CNV,M,P_HTHAB,RS	2.87 	1.96 	2.12 	1.88 	2.48 	2.79 	2.25 	3.74 	3.32 	: 	: 	: 	: 	: 
